Serial No,Customer Name,Customer Mobile Number,Customer Email,Account Number,Account Type,Customer Address,Branch Name,IFSC Code,MICR Code,Branch Address,Transaction Date,Transaction Time,Value Date,Description,Cheque Number,Debit,Credit,Balance
1,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,05-01-2023,14:30:00,05-01-2023,ATM Withdrawal,,5000.0,,145000.0
2,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,12-01-2023,11:45:00,12-01-2023,Online Shopping - Amazon,,3500.0,,141500.0
3,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,18-01-2023,10:00:00,18-01-2023,Electricity Bill Payment,,2200.0,,139300.0
4,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,22-01-2023,16:20:00,22-01-2023,Restaurant Payment,,1800.0,,137500.0
5,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,28-01-2023,9:30:00,28-01-2023,Salary Credit,,,65000.0,202500.0
6,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,02-02-2023,13:15:00,02-02-2023,Grocery Shopping,,3200.0,,199300.0
7,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,09-02-2023,15:45:00,09-02-2023,Mobile Recharge,,999.0,,198301.0
8,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,14-02-2023,11:30:00,14-02-2023,Gift Shop Purchase,,2500.0,,195801.0
9,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,20-02-2023,14:00:00,20-02-2023,Gas Bill Payment,,850.0,,194951.0
10,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,26-02-2023,17:30:00,26-02-2023,Movie Tickets,,600.0,,194351.0
11,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,28-02-2023,9:30:00,28-02-2023,Salary Credit,,,65000.0,259351.0
12,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,05-03-2023,10:45:00,05-03-2023,Health Insurance Premium,,12000.0,,247351.0
13,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,11-03-2023,16:00:00,11-03-2023,Clothing Store Purchase,,4500.0,,242851.0
14,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,17-03-2023,12:30:00,17-03-2023,Internet Bill Payment,,1200.0,,241651.0
15,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,23-03-2023,14:15:00,23-03-2023,Pharmacy Purchase,,1800.0,,239851.0
16,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,28-03-2023,9:30:00,28-03-2023,Salary Credit,,,65000.0,304851.0
17,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,31-03-2023,23:59:59,31-03-2023,Quarterly Interest Credit,,,3048.51,307899.51
18,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,04-04-2023,11:00:00,04-04-2023,ATM Withdrawal,,10000.0,,297899.51
19,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,09-04-2023,13:30:00,09-04-2023,Restaurant Payment,,2200.0,,295699.51
20,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,16-04-2023,15:45:00,16-04-2023,Electricity Bill Payment,,2400.0,,293299.51
21,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,21-04-2023,10:30:00,21-04-2023,Online Shopping - Flipkart,,5500.0,,287799.51
22,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,28-04-2023,9:30:00,28-04-2023,Salary Credit,,,65000.0,352799.51
23,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,03-05-2023,14:00:00,03-05-2023,Grocery Shopping,,3800.0,,348999.51
24,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,08-05-2023,16:30:00,08-05-2023,Mobile Recharge,,1499.0,,347500.51
