Serial No,Customer Name,Customer Mobile Number,Customer Email,Account Number,Account Type,Customer Address,Branch Name,IFSC Code,MICR Code,Branch Address,Transaction Date,Transaction Time,Value Date,Description,Cheque Number,Debit,Credit,Balance
1,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,05-01-2023,14:30:00,05-01-2023,ATM Withdrawal,,5000,,145000
2,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,12-01-2023,11:45:00,12-01-2023,Online Shopping - Amazon,,3500,,141500
3,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,18-01-2023,10:00:00,18-01-2023,Electricity Bill Payment,,2200,,139300
4,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,22-01-2023,16:20:00,22-01-2023,Restaurant Payment,,1800,,137500
5,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,28-01-2023,9:30:00,28-01-2023,Salary Credit,,,65000,202500
6,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,02-02-2023,13:15:00,02-02-2023,Grocery Shopping,,3200,,199300
7,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,09-02-2023,15:45:00,09-02-2023,Mobile Recharge,,999,,198301
8,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,14-02-2023,11:30:00,14-02-2023,Gift Shop Purchase,,2500,,195801
9,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,20-02-2023,14:00:00,20-02-2023,Gas Bill Payment,,850,,194951
10,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,26-02-2023,17:30:00,26-02-2023,Movie Tickets,,600,,194351
11,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,28-02-2023,9:30:00,28-02-2023,Salary Credit,,,65000,259351
12,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,05-03-2023,10:45:00,05-03-2023,Health Insurance Premium,,12000,,247351
13,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,11-03-2023,16:00:00,11-03-2023,Clothing Store Purchase,,4500,,242851
14,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,17-03-2023,12:30:00,17-03-2023,Internet Bill Payment,,1200,,241651
15,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,23-03-2023,14:15:00,23-03-2023,Pharmacy Purchase,,1800,,239851
16,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,28-03-2023,9:30:00,28-03-2023,Salary Credit,,,65000,304851
17,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,31-03-2023,23:59:59,31-03-2023,Quarterly Interest Credit,,,3048.51,307899.51
18,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,04-04-2023,11:00:00,04-04-2023,ATM Withdrawal,,10000,,297899.51
19,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,09-04-2023,13:30:00,09-04-2023,Restaurant Payment,,2200,,295699.51
20,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,16-04-2023,15:45:00,16-04-2023,Electricity Bill Payment,,2400,,293299.51
21,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,21-04-2023,10:30:00,21-04-2023,Online Shopping - Flipkart,,5500,,287799.51
22,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,28-04-2023,9:30:00,28-04-2023,Salary Credit,,,65000,352799.51
23,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,03-05-2023,14:00:00,03-05-2023,Grocery Shopping,,3800,,348999.51
24,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,08-05-2023,16:30:00,08-05-2023,Mobile Recharge,,1499,,347500.51
25,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,14-05-2023,11:15:00,14-05-2023,Home Appliance Purchase,,15000,,332500.51
26,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,19-05-2023,13:45:00,19-05-2023,Gas Bill Payment,,900,,331600.51
27,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,26-05-2023,17:00:00,26-05-2023,Book Store Purchase,,1200,,330400.51
28,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,28-05-2023,9:30:00,28-05-2023,Salary Credit,,,65000,395400.51
29,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,02-06-2023,10:30:00,02-06-2023,Health Insurance Premium,,12000,,383400.51
30,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,07-06-2023,15:15:00,07-06-2023,Clothing Store Purchase,,3800,,379600.51
31,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,13-06-2023,12:00:00,13-06-2023,Internet Bill Payment,,1200,,378400.51
32,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,18-06-2023,14:30:00,18-06-2023,Pharmacy Purchase,,2200,,376200.51
33,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,24-06-2023,16:45:00,24-06-2023,Restaurant Payment,,2500,,373700.51
34,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,28-06-2023,9:30:00,28-06-2023,Salary Credit,,,65000,438700.51
35,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,30-06-2023,23:59:59,30-06-2023,Quarterly Interest Credit,,,4387.01,443087.52
36,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,05-07-2023,11:30:00,05-07-2023,ATM Withdrawal,,8000,,435087.52
37,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,11-07-2023,13:00:00,11-07-2023,Online Shopping - Myntra,,4500,,430587.52
38,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,16-07-2023,15:30:00,16-07-2023,Electricity Bill Payment,,2600,,427987.52
39,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,21-07-2023,10:00:00,21-07-2023,Movie Tickets,,800,,427187.52
40,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,28-07-2023,9:30:00,28-07-2023,Salary Credit,,,65000,492187.52
41,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,03-08-2023,14:15:00,03-08-2023,Grocery Shopping,,4200,,487987.52
42,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,08-08-2023,16:00:00,08-08-2023,Mobile Recharge,,1299,,486688.52
43,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,14-08-2023,11:45:00,14-08-2023,Home 12or Purchase,,8500,,478188.52
44,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,19-08-2023,13:30:00,19-08-2023,Gas Bill Payment,,950,,477238.52
45,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,25-08-2023,17:15:00,25-08-2023,Gym Membership Fee,,6000,,471238.52
46,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,28-08-2023,9:30:00,28-08-2023,Salary Credit,,,65000,536238.52
47,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,02-09-2023,10:45:00,02-09-2023,Health Insurance Premium,,12000,,524238.52
48,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,07-09-2023,15:30:00,07-09-2023,Clothing Store Purchase,,5200,,519038.52
49,Customer1,1234500001,c1@gmail.com,1,Savings ,Customer_Address1,Branch1,BARB0IFSC1,MICR1,Branch_Address1,13-09-2023,12:15:00,13-09-2023,Internet Bill Payment,,1200,,517838.52
